x, y, z, red, green, blue, intensity
-1.877, 0.2835, -12.6735, 205, 205, 20, 1
-1.80748, 0.28938, -12.6649, 205, 205, 20, 1
-1.78183, 0.289077, -12.6553, 205, 205, 20, 1
-1.73891, 0.289182, -12.6547, 205, 205, 20, 1
-1.71, 0.29025, -12.6563, 205, 205, 20, 1
-1.926, -0.0545, -12.6055, 205, 205, 20, 1
-1.916, -0.0625, -12.6035, 205, 205, 20, 1
-1.85742, -0.0490789, -12.6114, 205, 205, 20, 1
-1.81864, -0.0480455, -12.6145, 205, 205, 20, 1
-1.78138, -0.0439615, -12.6268, 205, 205, 20, 1
-1.759, -0.048, -12.6315, 205, 205, 20, 1
-1.9346, -0.0171, -12.6223, 205, 205, 20, 1
-1.89024, -0.0227353, -12.6226, 205, 205, 20, 1
-1.85561, -0.0343387, -12.6175, 205, 205, 20, 1
-1.82047, -0.0353421, -12.6288, 205, 205, 20, 1
-1.77757, -0.0317857, -12.6194, 205, 205, 20, 1
-1.73505, -0.0129239, -12.6205, 205, 205, 20, 1
-1.71506, -0.013375, -12.625, 205, 205, 20, 1
-1.94611, 0.0231857, -12.6281, 205, 205, 20, 1
-1.895, 0.0115, -12.6175, 205, 205, 20, 1
-1.82, 0.0184999, -12.6085, 205, 205, 20, 1
-1.761, 0.00450001, -12.6055, 205, 205, 20, 1
-1.7515, 0.019, -12.6105, 205, 205, 20, 1
-1.704, 0.0161364, -12.618, 205, 205, 20, 1
-1.96667, 0.0571111, -12.6243, 205, 205, 20, 1
-1.94525, 0.0495, -12.6158, 205, 205, 20, 1
-1.68508, 0.0540385, -12.6157, 205, 205, 20, 1
-1.66992, 0.0599393, -12.622, 205, 205, 20, 1
-1.97689, 0.107588, -12.6193, 205, 205, 20, 1
-1.936, 0.11, -12.634, 205, 205, 20, 1
-1.687, 0.1035, -12.6245, 205, 205, 20, 1
-1.65643, 0.096, -12.622, 205, 205, 20, 1
-1.97217, 0.14219, -12.6191, 205, 205, 20, 1
-1.688, 0.1355, -12.612, 205, 205, 20, 1
-1.651, 0.1205, -12.6195, 205, 205, 20, 1
-1.96354, 0.167232, -12.6206, 205, 205, 20, 1
-1.95106, 0.187016, -12.6189, 205, 205, 20, 1
-1.93276, 0.211983, -12.6187, 205, 205, 20, 1
-1.91154, 0.231566, -12.6198, 205, 205, 20, 1
-1.68772, 0.231431, -12.6185, 205, 205, 20, 1
-1.67271, 0.21252, -12.6204, 205, 205, 20, 1
-1.89176, 0.248702, -12.619, 205, 205, 20, 1
-1.86197, 0.265152, -12.6188, 205, 205, 20, 1
-1.82138, 0.27706, -12.6189, 205, 205, 20, 1
-1.77994, 0.2775, -12.6188, 205, 205, 20, 1
-1.74009, 0.267908, -12.6188, 205, 205, 20, 1
-1.70708, 0.250302, -12.6198, 205, 205, 20, 1
-1.842, 0.2815, -12.6315, 205, 205, 20, 1
-1.80967, 0.285167, -12.6165, 205, 205, 20, 1
-1.77918, 0.291773, -12.635, 205, 205, 20, 1
-1.752, 0.301, -12.639, 205, 205, 20, 1
-1.706, 0.3115, -12.6175, 205, 205, 20, 1
-1.909, -0.0445, -12.5965, 205, 205, 20, 1
